ppm intensity peak
0.727322705 0.029834544 1
0.727872457 0.045013561 1
0.72842221 0.047061701 1
0.728971963 0.051412415 1
0.729521715 0.057758031 1
0.730071468 0.050174589 1
0.73062122 0.056259459 1
0.731170973 0.052646195 1
0.731720726 0.038208221 1
0.732270478 0.051238835 1
0.732820231 0.043433854 1
0.733369984 0.024797203 1
0.733919736 0.024797203 1
0.734469489 0.047110125 1
0.735019241 0.074113532 1
0.735568994 0.064875158 1
0.736118747 0.055303624 1
0.736668499 0.045504694 1
0.737218252 0.045504694 1
0.737768004 0.045504694 1
0.738317757 0.045504694 1
0.73886751 0.071002319 1
0.739417262 0.072221005 1
0.739967015 0.064913042 1
